📺央视频道,#genre#
CCTV5,http://171.116.252.138:9003/hls/5/index.m3u8
CCTV5,http://183.191.186.30:9003/hls/5/index.m3u8
CCTV5+,http://183.191.186.30:9003/hls/6/index.m3u8
CCTV5+,http://123.175.210.240:9003/hls/6/index.m3u8
CCTV5+,http://221.205.89.249:9003/hls/6/index.m3u8
CCTV5+,http://183.191.1.148:9003/hls/6/index.m3u8
CCTV5+,http://221.205.117.147:9003/hls/6/index.m3u8
CCTV5+,http://171.120.156.164:9003/hls/6/index.m3u8
CCTV5+,http://123.14.86.136:9003/hls/18/index.m3u8
CCTV5+,http://183.191.28.182:9003/hls/6/index.m3u8
CCTV6,http://123.175.210.240:9003/hls/7/index.m3u8
CCTV6,http://183.191.186.30:9003/hls/7/index.m3u8
CCTV6,http://221.205.89.249:9003/hls/7/index.m3u8
CCTV6,http://42.237.154.220:9003/hls/6/index.m3u8
CCTV6,http://183.191.185.33:9003/hls/7/index.m3u8
CCTV6,http://42.237.157.74:9003/hls/6/index.m3u8
CCTV6,http://171.116.255.54:9003/hls/7/index.m3u8
CCTV6,http://183.191.1.148:9003/hls/7/index.m3u8
CCTV7,http://221.205.89.249:9003/hls/8/index.m3u8
CCTV7,http://42.237.154.220:9003/hls/7/index.m3u8
CCTV7,http://42.237.157.74:9003/hls/7/index.m3u8
CCTV7,http://183.191.1.148:9003/hls/8/index.m3u8
CCTV7,http://171.116.255.54:9003/hls/8/index.m3u8
CCTV7,http://221.205.117.147:9003/hls/8/index.m3u8
CCTV7,http://123.14.86.136:9003/hls/7/index.m3u8
CCTV7,http://171.116.252.138:9003/hls/8/index.m3u8
CCTV8,http://123.175.210.240:9003/hls/9/index.m3u8
CCTV8,http://221.205.89.249:9003/hls/9/index.m3u8
CCTV8,http://171.120.156.164:9003/hls/9/index.m3u8
CCTV8,http://42.237.157.74:9003/hls/8/index.m3u8
CCTV8,http://42.237.154.220:9003/hls/8/index.m3u8
CCTV8,http://171.116.255.54:9003/hls/9/index.m3u8
CCTV8,http://221.205.117.147:9003/hls/9/index.m3u8
CCTV8,http://183.191.1.148:9003/hls/9/index.m3u8
CCTV9,http://123.175.210.240:9003/hls/10/index.m3u8
CCTV9,http://221.205.89.249:9003/hls/10/index.m3u8
CCTV9,http://171.120.156.164:9003/hls/10/index.m3u8
CCTV9,http://123.14.86.136:9003/hls/9/index.m3u8
CCTV9,http://171.116.255.54:9003/hls/10/index.m3u8
CCTV9,http://183.191.186.30:9003/hls/10/index.m3u8
CCTV9,http://183.191.1.148:9003/hls/10/index.m3u8
CCTV9,http://123.149.239.85:9003/hls/9/index.m3u8
CGTN,http://123.14.86.136:9003/hls/16/index.m3u8
CGTN,http://123.14.90.73:9003/hls/16/index.m3u8
CGTN,http://123.14.82.32:9003/hls/16/index.m3u8
CGTN1,http://111.43.126.240:9003/hls/32/index.m3u8
CGTN2,http://111.43.126.240:9003/hls/33/index.m3u8
📡卫视频道,#genre#
上海卫视,http://171.38.147.108:9003/hls/52/index.m3u8
东南卫视,http://111.43.126.240:9003/hls/47/index.m3u8
东南卫视,http://123.14.90.73:9003/hls/36/index.m3u8
东南卫视,http://123.14.82.32:9003/hls/36/index.m3u8
东南卫视,http://116.228.170.214:9003/hls/28/index.m3u8
东方卫视,http://123.175.210.240:9003/hls/23/index.m3u8
东方卫视,http://221.205.89.249:9003/hls/23/index.m3u8
东方卫视,http://183.191.186.30:9003/hls/23/index.m3u8
东方卫视,http://123.14.86.136:9003/hls/24/index.m3u8
东方卫视,http://183.191.1.148:9003/hls/23/index.m3u8
东方卫视,http://171.120.156.164:9003/hls/23/index.m3u8
东方卫视,http://171.116.255.54:9003/hls/23/index.m3u8
东方卫视,http://221.205.117.147:9003/hls/23/index.m3u8
云南卫视,http://123.14.86.136:9003/hls/33/index.m3u8
云南卫视,http://111.43.126.240:9003/hls/60/index.m3u8
云南卫视,http://171.116.255.54:9003/hls/48/index.m3u8
云南卫视,http://123.14.92.79:9003/hls/33/index.m3u8
云南卫视,http://123.14.90.73:9003/hls/33/index.m3u8
云南卫视,http://123.14.82.32:9003/hls/33/index.m3u8
兵团卫视,http://221.205.89.249:9003/hls/50/index.m3u8
内蒙卫视,http://123.175.210.240:9003/hls/38/index.m3u8
内蒙卫视,http://183.191.1.148:9003/hls/38/index.m3u8
内蒙卫视,http://171.120.156.164:9003/hls/38/index.m3u8
内蒙卫视,http://171.116.255.54:9003/hls/38/index.m3u8
内蒙卫视,http://171.116.252.138:9003/hls/38/index.m3u8
内蒙卫视,http://183.191.186.30:9003/hls/38/index.m3u8
内蒙卫视,http://221.205.117.147:9003/hls/38/index.m3u8
内蒙卫视,http://183.191.176.56:9003/hls/38/index.m3u8
内蒙古卫视,http://42.237.157.74:9003/hls/54/index.m3u8
内蒙古卫视,http://42.237.154.220:9003/hls/54/index.m3u8
内蒙古卫视,http://111.43.126.240:9003/hls/63/index.m3u8
北京卫视,http://42.237.157.74:9003/hls/31/index.m3u8
北京卫视,http://123.175.210.240:9003/hls/20/index.m3u8
北京卫视,http://42.237.154.220:9003/hls/31/index.m3u8
北京卫视,http://221.205.89.249:9003/hls/20/index.m3u8
北京卫视,http://183.191.186.30:9003/hls/20/index.m3u8
北京卫视,http://183.191.1.148:9003/hls/20/index.m3u8
北京卫视,http://221.205.117.147:9003/hls/20/index.m3u8
北京卫视,http://171.120.156.164:9003/hls/20/index.m3u8
卫视频道,#genre#
吉林卫视,http://42.237.154.220:9003/hls/48/index.m3u8
吉林卫视,http://123.175.210.240:9003/hls/34/index.m3u8
吉林卫视,http://171.120.156.164:9003/hls/34/index.m3u8
吉林卫视,http://183.191.1.148:9003/hls/34/index.m3u8
吉林卫视,http://183.191.186.30:9003/hls/34/index.m3u8
吉林卫视,http://42.237.157.74:9003/hls/48/index.m3u8
吉林卫视,http://171.116.255.54:9003/hls/34/index.m3u8
吉林卫视,http://171.116.252.138:9003/hls/34/index.m3u8
四川卫视,http://221.205.89.249:9003/hls/44/index.m3u8
四川卫视,http://171.116.255.54:9003/hls/44/index.m3u8
四川卫视,http://123.14.86.136:9003/hls/31/index.m3u8
四川卫视,http://123.14.92.79:9003/hls/31/index.m3u8
四川卫视,http://171.38.147.108:9003/hls/65/index.m3u8
四川卫视,http://111.43.126.240:9003/hls/50/index.m3u8
四川卫视,http://123.14.90.73:9003/hls/31/index.m3u8
